channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_000,417.0,50,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1882.0,50,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2483.0,50,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3399.75,50,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8743.0,50,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,400.0,51,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1994.0,51,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2507.0,51,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3263.25,51,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10905.0,51,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,513.0,52,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1839.0,52,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2528.0,52,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3376.0,52,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9606.0,52,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,362.0,53,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1879.0,53,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2486.0,53,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3273.0,53,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10996.0,53,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,392.0,54,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1938.25,54,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2468.0,54,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3179.0,54,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,11453.0,54,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,497.0,55,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1922.0,55,2,A,200129MZ072BBB07,l100seg,72
